# brandedPartId<TAB>abstractPartTypeId<TAB>modelId<TAB>partGradeId<TAB>partType
1001	1001	2027	1	Generic Chassis Suspension
2001	2001	2028	1	Generic Chassis Body
4001	4001	2029	1	Generic Driveline Assembly
5001	5001	2030	1	Generic Brake Set
6001	6001	1742	1	Generic Visible Parts Assembly
10001	10001	622	1	10 x 2 Organic Disc Brake
10002	10001	623	2	11 x 2 Organic Disc Brake
10003	10001	624	2	12 x 2 Organic Disc Brake
10004	10001	1716	1	9 x 2 Organic Disc Brake
10005	10001	1717	1	9 x 2 Organic HT Disc Brake
10006	10001	625	1	10 x 2 Organic HT Disc Brake
10007	10001	626	2	11 x 2 Organic HT Disc Brake
10008	10001	627	2	12 x 2 Organic HT Disc Brake
10009	10001	1718	1	9 x 2 Organic Drum Brake
10010	10001	615	1	10 x 2 Organic Drum Brake
10011	10001	616	1	11 x 2 Organic Drum Brake
10012	10001	617	1	12 x 2 Organic Drum Brake
10013	10001	1719	1	9 x 2 Organic HT Drum Brake
10014	10001	618	1	10 x 2 Organic HT Drum Brake
10015	10001	619	1	11 x 2 Organic HT Drum Brake
10016	10001	1720	2	12 x 2 Organic HT Drum Brake
10017	10001	629	2	11 x 2 Semi-Metallic Disc Brake
10018	10001	630	2	12 x 2 Semi-Metallic Disc Brake
10019	10001	621	2	11 x 2 Semi-Metallic Drum Brake
10020	10001	1721	2	12 x 2 Semi-Metallic Drum Brake
10021	10001	633	2	11 x 2 Metallic Disc Brake
10022	10001	634	3	12 x 2 Metallic Disc Brake
10025	10001	632	2	10 x 2 Metallic Disc Brake
10026	10001	631	2	9 x 2 Metallic Disc Brake
10027	10001	1722	3	10 x 2 Metallic Disc ABS Brake
10028	10001	1723	3	12 x 2 Metallic Disc ABS Brake
10031	10001	1752	3	11 x 2 Metallic Disc ABS Brake
10032	10001	2598	3	9 x 2 Metallic Disc ABS Brake
10033	10001	2597	2	9 x 2 Semi-Metallic Disc Brake
10034	10001	2596	3	14 x 2 Organic HT Disc Brake
10035	10001	2595	3	14 x 2 Organic HT Drum Brake
10036	10001	2594	3	14 x 2 Organic Disc Brake
10037	10001	2593	3	14 x 2 Organic Drum Brake
10038	10001	2592	3	13 x 2 Metallic Disc ABS Brake
10039	10001	2591	3	13 x 2 Semi-Metallic Disc Brake
10040	10001	2590	3	13 x 2 Metallic Disc Brake
10041	10001	2589	3	13 x 2 Organic HT Disc Brake
10042	10001	2588	3	13 x 2 Organic HT Drum Brake
10043	10001	2587	3	13 x 2 Organic Disc Brake
10044	10001	2586	3	13 x 2 Organic Drum Brake
11001	11001	606	1	LD (0.2) Shock
11002	11001	607	1	LD (0.3) Shock
